,Unnamed: 0,ID,UserID,Origin,Destination,Time,Income,Comment,Created_at,Label
0,0,1001034,1001513,1030,1030,9,230000,"
",2024-04-13 10:07:38.022905,0
1,1,1005544,1001129,631,847,42,1060000," راننده بسیار مودب بود و خوشرو بود
",2024-04-15 12:15:10.609723,0
2,2,1000139,1004333,858,864,34,1250000," سفر بسیار اسان و راحتی بود، و ماشین تمیزتمیز بود
",2024-04-13 02:18:36.600126,0
3,3,1000560,1001673,593,846,14,660000," راننده به موقع رسید
",2024-04-13 06:00:18.870376,1
4,4,1008230,1002231,1018,1018,11,230000," ماشین بسیار شیک بود و  راننده از هر لحاظ حرفهای بود
",2024-04-16 16:31:47.874442,0
5,5,1003604,1001649,845,592,0,650000," راننده با مهارت بالایی ترافیک شلوغ شهر را دور زد
",2024-04-14 13:39:01.032001,0
6,6,1005691,1003584,856,586,48,950000," سفر بی مشکلی با این راننده داشتم
",2024-04-15 13:18:58.364416,0
7,7,1007222,1001857,602,860,20,620000," راننده بسیار با دقت رفتار کرد و هیچ بیتوجهی متصور نبود
",2024-04-16 09:00:33.892365,0
8,8,1007204,1004197,1018,1018,3,180000," این یک تجربه تاکسی بسیار مثبت بود پر از امنیت و رفاه بود
",2024-04-16 08:51:39.042025,0
9,9,1007134,1002076,593,591,12,300000," راننده خوبی بود
",2024-04-16 08:27:13.965445,0
10,10,1000174,1003897,619,865,33,1390000," سفر به همهی لحاظ عالی بود، و راننده شرایط را درک میکرد
",2024-04-13 02:48:51.274197,0
11,11,1001567,1003050,863,865,13,380000," راننده بسیار با همدلی با من صحبت کرد
",2024-04-13 14:19:09.344883,0
12,12,1003127,1002189,1018,1018,11,280000," این سفر یکی از بهترین تجاربم بود
",2024-04-14 10:22:24.233502,0
13,13,1004219,1003214,849,613,9,440000," این بخش از مسافرتی بود که خاطره خوبی شد
",2024-04-14 20:58:34.645204,0
14,14,1007978,1004441,839,839,5,210000," راننده مرا به مقصدم رسانید و از من پول اضافی خواست
",2024-04-16 14:19:55.743333,0
15,15,1002339,1004198,1018,1018,10,390000," راننده جوان و خوش مشربی بود
",2024-04-14 04:04:04.133253,0
16,16,1001785,1003709,622,623,9,310000,"  خانم راننده حرفه ای بود
",2024-04-13 16:16:11.724179,0
17,17,1004051,1003899,861,861,5,250000," از طولانی شدن مسیر خسته شدم
",2024-04-14 17:41:28.403493,0
18,18,1003204,1003306,1019,1019,3,190000," برای این سفر عالی، از راننده تلاشگرم سپاس گزاری میکنم
",2024-04-14 10:49:00.725077,0
19,19,1000852,1000056,850,618,7,310000," همکاران راننده همیشه به دقت مسیر را بررسی میکنند و برای همه وقایع پیش بینیهای لازم را دارند
",2024-04-13 08:34:52.191493,0
20,20,1006413,1003594,839,850,22,860000," مهارت راننده حیرت آور بود
",2024-04-16 02:17:44.826499,0
21,21,1000662,1000101,589,838,16,530000,"راننده به من کمک کرد تا به مقصدم برسم و توانایی مسیریابی خوبی داشت
",2024-04-13 06:50:28.501990,0
22,22,1004058,1003491,611,863,27,1050000," سرویس تاکسی آنلاینی که انتخاب کردم بسیار حرفهای و خدمات مطلوبی داشت
",2024-04-14 17:42:32.194549,0
23,23,1006204,1000919,1018,1018,14,410000," راننده دقیقاً در زمان توافق شده رسید و از تأخیر جلوگیری کرد
",2024-04-15 18:43:25.376704,0
24,24,1007747,1003636,838,862,0,550000,"راننده مودب بود
",2024-04-16 12:36:13.213538,0
25,25,1003764,1003240,587,583,12,480000," پیشبینیهای راننده در مورد ترافیک دقیق و درست بود
",2024-04-14 14:48:49.599177,0
26,26,1008207,1000047,592,582,29,760000," راننده دقیقا در مبدا منتظر بود
",2024-04-16 16:14:03.059381,0
27,27,1002938,1004069,631,631,8,240000," از مهربانی و دقت راننده متشکرم
",2024-04-14 08:35:58.611561,0
28,28,1004088,1002102,842,856,12,420000," راننده بسیار با ادب و حرفهای رفتار کرد و سفر را لذتبخش کرد
",2024-04-14 18:17:09.984253,0
29,29,1006721,1001911,580,838,36,1150000," مسیری که راننده انتخاب کرد کمک کرد از یک ترافیک زیاد جلوگیری بشود
",2024-04-16 05:16:06.545362,0
30,30,1006127,1002823,1029,1029,23,560000," در حین مسافرت، راننده با من از موضوعات متنوعی گفتگو کرد و برای من یک سفر جذاب فراهم کرد
",2024-04-15 17:39:13.327951,0
31,31,1004282,1001451,608,592,18,650000," راننده قبل از شروع سفربه ترافیک مسلط بود
",2024-04-15 02:25:04.273733,0
32,32,1004712,1003759,1045,594,26,540000," سفر با این راننده برای من یک تجربهی لذت بخش بود
",2024-04-15 06:05:06.112617,0
33,33,1007666,1000854,839,863,27,790000," راننده به نظرات و پیشنهادات من توجه میکرد
",2024-04-16 12:10:50.399785,0
34,34,1002780,1004184,623,589,32,1040000,"راننده شخصی بسیار مودب بود
",2024-04-14 07:24:59.229988,0
35,35,1005285,1002564,1019,593,58,1530000," راننده به آخرین وضعیت ترافیک آگاهی داشت
",2024-04-15 10:28:35.988534,0
36,36,1001353,1004065,630,630,5,240000," از انتخابی که انجام دادم راضی ام  
",2024-04-13 12:29:19.032781,0
37,37,1007931,1002534,1018,1018,6,230000,"راننده بسیار قابل اطمینان بود
",2024-04-16 13:56:58.795559,0
38,38,1004098,1000092,838,862,10,460000," راننده با مهارت و دقت بالا ترافیک شلوغ را به خوبی مدیریت کرد
",2024-04-14 18:28:30.082887,0
39,39,1003636,1004253,863,583,46,960000," سفر با این راننده صرفهجویی در زمان بود
",2024-04-14 13:55:40.619364,0
40,40,1004964,1003024,608,617,24,540000," این راننده از مهارت رانندگی بالا برخوردار بود
",2024-04-15 08:07:56.414998,0
41,41,1003930,1001200,1019,1018,28,610000,"واااای، راننده که خیلی خوب و صمیمی بود!
",2024-04-14 16:08:11.793144,0
42,42,1005319,1000547,612,609,10,610000,"راننده  حتی کمک کردند که چند تا کیف سنگین را تا در ببرم
",2024-04-15 10:41:25.008424,0
43,43,1000531,1001219,844,602,9,440000,"راننده بسیار بهموقع رسید
",2024-04-13 05:54:56.159476,0
44,44,1005889,1001958,1018,1019,30,490000," واقعاً سرویس خوبی بود
",2024-04-15 14:59:25.653673,0
45,45,1002936,1003904,845,839,20,690000,"از اینکه چقدر راننده به خوبی توی ترافیک مدیریت کرد تعجب کردم
",2024-04-14 08:34:02.613341,0
46,46,1005178,1002444,852,839,20,570000," واقعاً مهارت داشتند!
",2024-04-15 09:39:24.617863,0
47,47,1001902,1003332,622,622,3,180000,"این راننده ماشین ترتمیزی داشت! 
",2024-04-13 17:57:51.958035,0
48,48,1008105,1004222,593,593,9,240000,"تجربه لذتبخش بود
",2024-04-16 15:24:18.479072,0
49,49,1003867,1002425,839,862,15,440000,"راننده خیلی کمک کردند به من
",2024-04-14 15:33:38.202743,0
50,50,1006814,1001204,846,617,13,490000,"راننده حتی به من نکات خوبی درباره رستورانهای محلی گفتن
",2024-04-16 05:54:12.239642,0
51,51,1004084,1003645,846,603,15,490000,"با این راننده کاملاً احساس امنیت کردم 
",2024-04-14 18:13:28.883622,0
52,52,1003860,1004294,1019,1019,14,370000,"با دقت رانندگی میکردند و خیلی مواظب بودند
",2024-04-14 15:32:06.980870,0
53,53,1005269,1003669,861,586,23,790000,"این بهترین تجربه تاکسی آنلاینی بود که داشتم
",2024-04-15 10:21:03.107217,0
54,54,1006003,1003929,601,603,29,1020000," راننده دوستانه برخورد کرد
",2024-04-15 16:07:23.200316,0
55,55,1006509,1003587,635,617,34,970000,"راننده بسیار بیادب بود و حتی وقتی وارد ماشین شدم بی ادبی کرد
",2024-04-16 03:29:13.962432,0
56,56,1007036,1002416,611,840,33,790000,"خیلی ناراضی بودم
",2024-04-16 07:37:47.371173,0
